16:40:14 [INFO] Opening target process: csgo.exe
16:40:14 [INFO] Starting signature scanning: 58 items
16:40:14 [INFO] Found signature: dwClientState => 0x59F19C
16:40:14 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
16:40:14 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
16:40:14 [INFO] Found signature: dwClientState_Map => 0x28C
16:40:14 [INFO] Found signature: dwClientState_MapDirectory => 0x188
16:40:14 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
16:40:14 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
16:40:14 [INFO] Found signature: dwClientState_State => 0x108
16:40:14 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
16:40:14 [INFO] Found signature: clientstate_delta_ticks => 0x174
16:40:14 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
16:40:14 [INFO] Found signature: clientstate_choked_commands => 0x4D30
16:40:14 [INFO] Found signature: clientstate_net_channel => 0x9C
16:40:14 [INFO] Found signature: dwEntityList => 0x4DFFFB4
16:40:14 [INFO] Found signature: dwForceAttack => 0x322DDEC
16:40:14 [INFO] Found signature: dwForceAttack2 => 0x322DDF8
16:40:14 [INFO] Found signature: dwForceBackward => 0x322DE40
16:40:14 [INFO] Found signature: dwForceForward => 0x322DE34
16:40:14 [INFO] Found signature: dwForceJump => 0x52BBD48
16:40:14 [INFO] Found signature: dwForceLeft => 0x322DE4C
16:40:14 [INFO] Found signature: dwForceRight => 0x322DDB0
16:40:14 [INFO] Found signature: dwGameDir => 0x63AD80
16:40:14 [INFO] Found signature: dwGameRulesProxy => 0x532F56C
16:40:14 [INFO] Found signature: dwGetAllClasses => 0xE0BF8C
16:40:14 [INFO] Found signature: dwGlobalVars => 0x59EE60
16:40:14 [INFO] Found signature: dwGlowObjectManager => 0x535AA70
16:40:14 [INFO] Found signature: dwInput => 0x525D588
16:40:14 [INFO] Found signature: dwInterfaceLinkList => 0x99C224
16:40:14 [INFO] Found signature: dwLocalPlayer => 0xDEA964
16:40:14 [INFO] Found signature: dwMouseEnable => 0x52391E8
16:40:14 [INFO] Found signature: dwMouseEnablePtr => 0x52391B8
16:40:14 [INFO] Found signature: dwPlayerResource => 0x322C160
16:40:14 [INFO] Found signature: dwRadarBase => 0x5236A8C
16:40:14 [WARN] dwSensitivity sigscan failed: Pattern not found
16:40:14 [WARN] dwSensitivityPtr sigscan failed: Pattern not found
16:40:14 [INFO] Found signature: dwSetClanTag => 0x8DA80
16:40:14 [INFO] Found signature: dwViewMatrix => 0x4DF0DE4
16:40:14 [INFO] Found signature: dwWeaponTable => 0x525E664
